student-id,dosage,pre-test,post-test
484457,0.95,67,71
837197,0.81,75,29
786080,0.87,20,31
212996,0.47,77,98
317713,0.69,75,82
299414,0.39,34,76
739994,0.99,1,77
982055,0.14,31,53
232278,0.55,49,57
979320,0.35,64,6
314686,0,29,46
649694,0.92,44,8
605640,0.71,65,48
475579,0.81,51,11
651999,0.36,9,74
838069,0.61,23,62
183835,0.75,32,26
986900,0.18,14,81
446260,0.58,67,24
910149,0.74,58,49
634928,0.23,6,68
444779,0.86,7,58
935448,0.33,24,44
252387,0.04,4,63
969165,0.85,42,42
389896,0.97,74,14
328593,0.11,86,52
979894,0.81,99,13
800516,0.64,45,42
136838,0.52,66,78
269543,0.3,71,58
930989,0.83,40,35
939074,0.23,58,2
292461,0.32,63,42
562824,0.28,8,39
458511,0.28,56,40
979470,0.75,52,10
741567,0.85,65,84
340526,0.73,47,81
589078,0.03,98,40
574150,0.45,66,21
448337,0.03,23,46
802022,0.54,88,78
344241,0.44,48,96
163521,0.84,42,28
141082,0.58,18,38
385258,0.77,29,22
818888,0.94,36,58
429579,0.91,66,87
626211,0.98,51,33
209079,0.31,89,12
511774,0.39,19,93
691452,0.79,19,66
923585,0.13,5,69
736598,0.23,11,37
737364,0.81,10,58
841775,0.4,35,53
972855,0.17,35,26
561717,0.45,12,41
498153,0.96,55,11
844052,0.51,51,50
902551,0.95,9,49
105236,0.8,14,99
391980,0.93,98,73
454538,0.98,22,71
347503,0.12,15,74
377823,0.5,86,80
941963,0.36,68,100
579645,0.44,81,30
593934,0.82,82,73
874212,0.72,62,36
569253,0.7,49,55
222967,0.68,56,10
685204,0.32,99,50
289995,0.15,61,78
651854,0.61,9,57
272133,0.26,92,76
380388,0.42,79,42
553282,0.41,49,24
415453,0.09,41,69
359101,0.01,7,53
173854,0.83,15,14
968211,0.16,1,69
685444,0.7,37,10
793686,0.63,14,92
644312,0.45,63,90
477280,0.73,82,20
394056,0.35,96,58
737023,0.49,8,58
546970,0.48,83,48
800892,0.33,56,11
356951,0.48,82,30
193625,0.57,50,74
245320,0.28,4,51
782289,0.28,40,38
431812,0.23,4,98
629301,0.06,11,46
616968,0.33,75,2
674382,0.1,8,77
541654,0.43,6,0
116358,0.34,68,97
735883,0.24,1,3
468548,0.12,26,17
412779,0.29,71,37
156674,0.12,69,88
527085,0.15,85,73
907379,0.15,33,59
899818,0.34,37,54
736331,0.53,77,73
913737,0.57,23,94
603585,0.57,35,65
146466,0.16,70,34
383948,0.57,93,23
931674,0.29,93,9
211910,0.96,17,13
966808,0.72,27,59
980562,0.24,29,5
550375,0.13,16,31
996026,0.04,80,19
471170,0.06,30,51
314437,0.21,5,34
212754,0.9,56,20
793167,0.07,13,30
101747,0.5,46,23
576948,0.49,63,22
657170,0.1,66,44
236977,0.09,97,50
485023,0.06,44,90
186382,0.27,22,7
184593,0.62,21,70
267868,0.99,64,82
732039,0.9,18,8
753960,0.48,14,14
262933,0.52,9,63
430560,0.25,24,62
405343,0.38,23,27
331372,0.56,2,14
982058,0.06,97,82
260005,0.57,62,16
523714,0.32,63,59
149705,0.37,68,33
368940,0.17,51,98
653758,0.38,78,3
157580,0.92,9,17
985327,0.72,84,2
765760,0.63,10,60
620223,0.49,19,44
352554,0.38,10,36
823540,0.38,14,45
782684,0.7,89,89
425732,0.15,91,13
124598,0.35,15,56
814794,0.59,55,47
865855,0.8,68,56
985541,0.19,80,19
569771,0.47,98,68
351310,0.15,75,54
149798,0.55,87,99
317533,0.46,50,88
712931,0.02,43,79
778266,0,11,6
578220,0.79,6,31
117097,0.95,92,66
984246,0.85,30,2
595239,0.11,2,18
190033,0.55,94,55
913676,0.88,53,17
709841,0.66,49,84
575894,0.87,38,24
579525,0.63,49,20
432846,0.92,94,22
888960,0.35,16,82
442499,0.23,72,43
602621,0.83,49,14
148468,0.94,37,82
239405,0.27,78,44
835364,0.44,9,15
324239,0.05,60,89
259071,0.58,91,36
846576,0.29,43,39
320943,1,33,20
719116,0.64,37,66
258953,0.84,27,54
763333,0.08,73,77
432945,0.05,95,11
677049,0.8,46,27
138395,0.22,81,16
258368,0.28,17,5
826393,0.62,24,31
111265,0.33,4,29
614722,0.63,24,78
868142,0.45,25,15
928737,0.14,89,1
812527,0.73,66,21
817499,0.89,2,12
776712,0.44,2,65
449244,0.18,48,9
860064,0.27,90,6
681570,0.12,4,41
332837,0.84,57,20
422586,0.28,1,14
505283,0.02,61,36
347881,0.71,72,87
902791,0.97,75,52
453071,0.07,66,33
853878,0.5,6,92
612033,0.96,41,51
580296,0.17,88,4
917256,0.46,30,53
185453,0.87,8,33
828198,0.28,9,19
470827,0.23,9,60
478191,0.16,11,28
397248,0.87,76,46
354982,0.59,33,24
471462,0.32,50,78
104989,0.04,30,62
108072,0.38,41,50
138581,0.04,76,73
651047,0.07,64,32
991220,0.45,92,64
984118,0.61,44,28
716598,0.64,87,69
784334,0.34,99,81
973999,0.68,75,23
508630,0.14,77,18
856604,0.54,16,10
474514,0.66,23,16
141145,0.97,70,25
547384,0.85,4,20
955218,0.79,79,30
988223,0.67,56,65
925883,0.53,83,55
961426,0.02,60,20
869933,0.95,97,35
794199,0.92,78,0
690340,0.39,0,68
253758,0.48,11,78
552572,0.4,28,19
608722,0,26,85
966907,0.94,64,35
354883,0.81,84,78
932581,0.78,31,22
682802,0.21,97,94
109165,0.4,58,49
947380,0.81,78,72
148105,0.94,26,29
451862,0.13,32,20
972412,0.96,20,63
826093,0.07,67,46
172555,0.1,46,55
539415,0.26,28,71
311330,0.72,48,2
535048,0.7,50,18
230362,0.55,46,56
473138,0.84,4,63
371003,0.54,64,93
589752,0.42,53,89
475999,0.44,16,74
231478,0.85,91,93
635753,0.83,47,76
180172,0.68,45,47
117582,0.68,87,36
986513,0.6,20,28
393048,0.27,91,0
576478,0.1,83,89
857191,0.76,58,16
430850,0.2,37,50
197260,0.93,63,34
294567,0.15,87,4
448747,0.26,96,49
442800,0.79,44,34
980819,0.7,69,56
184433,0.91,6,66
475879,0.4,6,3
431531,0.59,37,79
878219,0.31,90,66
423913,0.82,14,88
535481,0.55,31,4
252046,0.69,33,40
437024,0.73,41,60
870996,0.69,50,22
172712,0.29,99,82
519674,0.4,3,10
596152,0.7,47,76
850228,0.34,30,88
471764,0.14,44,52
869245,0.31,87,28
754221,0.81,11,98
677269,0.42,17,48
214198,0.99,48,91
648718,0.84,58,66
484343,0.55,23,40
731038,0.91,90,5
384800,0.3,72,73
677513,0.77,72,18
404550,0.02,99,65
188859,0.38,63,86
293266,0.22,56,62
257008,0.3,100,77
302216,0.96,4,16
590992,0.29,7,44
268230,0.79,53,32
732472,0.08,95,45
237948,0.23,8,79
482356,0.1,93,17
919530,0.91,1,33
658103,0.28,31,72
748622,0.96,9,65
515748,0.08,76,92
398663,0.22,43,9
374918,0.15,57,77
496328,0.68,40,82
185687,0.23,66,68
142272,0.98,34,1
946755,0.24,6,7
333348,0.17,84,0
955090,0.51,1,41
748249,0.62,78,88
283628,0.94,92,31
706191,0.41,29,47
670867,0.03,27,45
961407,0.29,24,86
620034,0.19,59,71
922100,0.46,91,64
391532,0.38,84,78
407798,0.52,30,69
458985,0.09,94,0
552206,0.15,91,33
179143,0.15,48,0
518702,0.52,39,35
306264,0.55,80,56
290948,0.65,65,15
654261,0.7,86,1
700228,0.82,21,3
990684,0.83,98,63
197260,0.58,53,43
580889,0.68,94,51
576404,0.07,14,44
435474,0.89,16,0
863146,0.92,69,47
820981,0.87,11,0
329996,0.21,69,50
229374,0.71,61,86
850363,0.4,76,2
969605,0.48,9,76
107347,0.33,0,80
801641,0.79,61,83
250982,0.51,99,5
567612,0.09,1,48
801243,0.32,61,23
737769,0.39,33,88
856757,0.77,72,0
258270,0.12,38,22
807901,0.06,75,7
686809,0.05,61,36
670309,0.72,30,5
146735,0.14,85,81
305005,0.79,63,83
574450,0.41,66,3
155869,0.35,54,53
444349,0.39,44,14
874073,0.88,18,29
153262,0.16,8,9
252237,0.47,8,13
115987,0.77,57,35
125738,0.66,5,45
822693,1,69,13
588739,0.58,37,80
643401,0.41,13,75
189557,0.35,60,39
960480,0.33,61,60
552578,0.21,13,33
307956,0.43,60,82
971628,0.93,53,4
124055,0.58,88,56
109780,0.52,76,22
400940,0.82,22,62
266872,0.36,36,22
905532,0.91,35,3
366695,0.8,51,18
905643,0.65,76,70
816835,0.41,43,27
889945,0.44,19,6
922575,0.67,67,25
207438,0.94,91,25
614007,0.19,75,21
417863,0.97,50,25
156312,0.04,0,12
762599,0.05,33,58
539757,0.77,83,47
590000,0.11,3,85
403844,0.57,3,83
990224,1,72,33
863266,0.42,11,30
539818,0.25,76,40
505802,0.81,8,57
237698,0.37,60,12
426010,0.16,10,41
599033,0.35,68,21
939364,0.15,39,68
237458,0.14,84,43
358694,0.1,58,50
178283,0.15,4,45
857589,0.66,26,90
633473,0.86,82,90
144488,0.56,82,82
570073,0.76,48,35
797138,0.48,70,17
185703,0.46,7,32
454877,0.42,96,55
219191,0.75,64,8
989548,0.43,80,10
964739,0.23,56,82
915443,0.09,84,55
957173,0.44,26,81
208718,0.09,18,16
187560,0.54,94,13
319724,0.08,57,85
895991,0.52,82,18
265670,0.14,50,65
744697,0.57,93,93
679799,0.07,72,80
589914,0.31,48,72
282093,0.79,61,91
681179,0.02,68,50
952197,0.21,9,5
205013,0.41,74,52
354171,0.2,37,63
205168,0.69,91,61
278016,0.1,16,35
932242,0.06,98,52
453062,0.92,13,31
623226,0.55,57,89
604788,0.28,69,77
959677,0.62,31,22
460199,0.77,61,65
751082,0.04,55,16
240397,0.72,88,71
773605,0.09,42,59
128844,0.32,5,67
171687,0.7,57,58
324194,0.74,17,5
384922,0.25,54,78
886178,0.3,8,12
859640,0.06,54,99
372495,0.04,12,78
953755,0.56,46,30
204820,0.07,51,61
864091,0.74,13,83
186831,0.95,30,29
986480,0.39,46,82
510329,0.12,68,0
204085,0.98,36,2
732980,0.29,31,27
857557,0.73,27,19
120862,0.24,76,2
838274,0.25,69,98
685843,0.29,80,27
794393,0.87,28,88
565763,0.63,96,16
763836,0.17,15,98
459542,0.25,31,30
752910,0.44,59,85
323435,0.54,31,66
286074,0.34,8,14
918578,0.02,16,42
949479,0.26,95,54
783734,0.79,87,67
696446,0.71,87,96
798731,0.09,10,57
516136,0.6,88,7
605453,0.67,96,51
712007,0.67,62,85
819484,0.76,86,20
944280,0.31,1,21
995130,0.21,2,87
652345,0.54,94,94
809826,0.88,77,26
110017,0.72,83,12
147464,0.74,22,13
185575,0.31,36,41
229471,0.13,32,8
465156,0.85,1,41
586279,0.54,63,90
863250,0.79,59,9
227942,0.57,13,74
130001,0.68,11,75
381967,0.92,54,35
676909,0.78,32,18
611133,0.11,25,12
527080,0.71,82,100
550813,0.23,76,33
556896,0.28,36,45
156528,0.44,57,54
785411,0.93,32,94
238604,0.26,99,9
427823,0.35,1,72
597587,0.92,44,23
124347,0.89,52,90
629191,0.04,74,74
928875,0.79,22,40
584020,0.2,59,67
708360,0.2,13,57
386031,0.49,38,51
840047,0.8,35,43
576353,0.88,92,82
100592,0.55,3,90
261831,0.94,100,19
606453,0.8,79,23
521855,0.29,18,27
330131,0.39,35,11
566406,0.27,31,91
221027,0.82,51,9
137768,0.97,24,87
271449,0.87,85,64
444665,0.26,18,77
677838,0.62,74,40
879790,0.5,24,62
264611,0.24,33,4
669412,0.73,81,94
353854,0.65,33,70
875071,0.77,37,100
227411,0.44,93,27
797714,0.53,86,39
438422,0.43,87,21
734963,0.12,50,83
695972,0.44,75,36
342864,0.37,40,16
976078,0.26,72,3
182701,0.91,65,100
477469,0.35,42,71
749895,0.84,31,15
680340,0.99,81,46
923479,0.75,32,49
576127,0.86,92,54
815587,0.44,21,20
999671,0.46,65,63
387142,0.09,83,47
422549,0.69,55,65
520018,0.27,52,97
510763,0.63,91,70
669651,0.62,13,34
854863,0.52,17,61
128772,0.97,69,58
877345,0.05,65,41
826522,0.53,38,3
277368,0.49,56,51
875065,0.87,8,80
422805,0.4,75,43
143246,0.59,68,70
739002,0,58,33
246765,0.19,89,64
935326,0.62,21,52
709857,0.54,1,6
225178,0.18,24,97
647750,0.67,76,18
608494,0.22,18,41
663005,0.6,75,10
178560,0.77,30,18
744156,0.97,83,65
573691,0.51,76,88
922913,0.34,18,64
924969,0.04,12,72
223512,0.93,3,65
313237,0.56,97,43
320754,0.65,31,89
105793,0.35,46,54
349140,0.9,41,26
822692,0.1,83,50
734510,0.48,68,54
395207,0.47,28,3
344846,0.19,33,88
228722,0.04,55,2
876518,0.88,94,5
580587,0.68,30,74
744004,0.49,71,33
267861,0.1,33,27
988232,0.75,29,67
625374,0.23,41,85
131671,0.67,25,42
442475,0.59,26,42
953024,0.24,72,43
636277,0.77,47,94
600491,0.19,62,48
438133,0.11,85,5
973543,0.77,5,92
702978,0.88,73,71
341836,0.55,83,84
500489,0.12,73,74
853890,0.74,76,14
783129,0.9,11,93
550693,0.11,79,38
921332,0.76,3,85
592999,0.05,76,3
632614,0.71,45,25
648020,0.4,2,65
224966,0.35,11,79
358017,0.29,76,49
500557,0.19,63,14
118908,0.1,92,91
324400,0.39,67,41
901940,0.03,90,87
574616,0.62,37,86
639294,0.53,57,15
293250,0.32,32,47
404177,0.56,66,49
918322,0.58,54,44
561641,0.37,31,22
300335,0.23,36,97
262328,0.83,82,1
998041,0.79,72,53
285803,0.04,66,10
259524,0.11,73,58
585921,0.91,56,95
847496,0.34,90,11
990309,0.49,5,44
602207,0.51,24,62
517316,0.59,50,41
804026,0.69,56,65
554985,0.92,17,70
816428,0.06,34,100
735711,0.1,81,52
817928,0.16,28,8
873221,0.96,8,48
153276,0.07,48,34
510990,0.82,78,40
358518,0.17,70,31
869027,0.51,82,48
835848,0.21,42,9
397170,0.28,47,15
436425,0.11,14,44
593828,0.35,26,52
474899,0.23,19,91
400712,0.39,39,13
687056,0.29,83,33
404895,0.53,54,76
625128,0.99,96,50
327576,0.13,60,33
402720,0.82,10,2
424923,0.58,77,22
427511,0.28,52,12
390480,0.06,82,97
274963,0.18,12,79
895957,0.5,14,7
145054,0.76,95,14
968917,0.6,69,5
853083,0.27,53,85
350731,0.09,77,5
143708,0.55,44,51
678938,0.26,58,91
576896,0.04,11,92
963316,0.28,16,80
381161,0.14,84,33
736906,0.85,55,53
182598,0.4,61,79
596641,0.91,16,51
628274,0.21,100,19
360011,0.87,26,78
763346,0.36,48,18
244685,0.9,55,68
255783,0.23,83,83
588424,0.58,47,88
303609,0.66,22,38
206847,0.3,89,94
285892,0.81,55,17
126845,0.14,42,48
952391,0.1,39,84
184788,0.29,97,62
132422,0.11,88,80
719477,0.07,51,20
735281,0.85,23,71
231925,0.55,82,80
991460,0.8,59,10
464231,0.62,57,55
327781,0,45,8
219214,0.66,23,20
468139,0.64,77,48
774291,0.47,70,63
239558,0.6,76,3
607045,0.18,2,65
483969,0.66,89,3
400711,0.88,69,36
325837,0.97,53,96
220614,0.24,98,80
332636,0.44,34,24
893045,0.3,81,35
332158,0.21,49,72
134691,0.25,43,1
689825,0.49,30,100
496085,0.01,66,61
113294,0.51,20,67
890430,0.47,13,30
244361,0.2,48,29
860686,0.87,54,47
594428,0.64,79,15
586970,0.76,51,71
985377,0.73,25,5
696864,1,95,43
386408,0.44,58,93
179004,0.14,56,4
489687,0.2,33,99
498249,0.73,93,26
757326,0.11,29,70
402944,0.29,11,7
788793,0.94,99,62
364037,0.5,86,9
911983,0.36,33,56
150098,0.84,54,1
770058,0.21,46,6
119680,0.55,84,0
464848,0,92,23
344060,0.79,62,5
459596,0.67,17,42
308467,0.92,81,90
708480,0.33,67,12
694461,0.23,60,20
193837,0.21,66,91
911793,0.89,13,7
860287,0.59,81,59
544191,0.33,46,35
859142,0.6,6,65
843182,0.02,24,88
875818,0.43,77,66
563615,0.29,61,29
316150,0.2,47,57
960134,0.83,61,67
790279,0.09,15,30
807954,0.48,49,78
656657,0.52,79,97
620002,0.11,4,47
156586,0.27,10,81
576746,0.96,79,52
707186,0.43,9,85
522565,0.79,79,79
589988,0.28,28,50
437597,0.93,36,89
261025,0.42,28,52
177896,0.77,77,80
706660,0.69,40,98
125673,0.67,21,59
878911,0.34,60,9
330714,0.61,82,85
316820,0.33,27,92
900813,0.21,57,51
626064,0.42,3,20
968440,0.1,70,72
326005,0.31,68,68
202514,0.87,6,73
669305,0.48,56,62
545309,0.54,65,44
413104,0.85,62,65
457114,0.87,52,52
582932,0.24,2,92
509847,0.8,23,65
963102,0.26,8,15
970483,0.83,37,2
744023,0.23,42,55
949638,0.79,65,42
275044,0.73,59,32
148848,0.37,45,25
197579,0.07,49,6
839910,0.37,26,21
276815,0.86,34,75
661216,0.64,95,71
296602,0.36,18,27
428465,0.08,27,68
141581,0.5,58,62
328042,0.9,54,90
256257,0.45,72,53
778242,0.1,64,100
355029,0.43,91,83
156758,0.06,12,50
111225,0.12,48,3
887155,0.11,98,91
336123,0.44,29,61
895398,0.57,97,11
918079,0.29,39,27
378271,0.2,9,12
367645,0.99,46,4
217510,0.24,26,36
920030,0.06,61,65
720953,0.2,33,75
612610,0.79,45,36
337080,0.22,63,99
406480,0.56,72,45
695233,0.27,34,87
523246,0.58,62,43
575396,0.41,35,34
510494,0.43,42,55
372094,0.59,80,67
413369,0.04,48,99
503758,0.5,24,64
427596,0.47,21,46
533319,0.18,48,32
573256,0.18,1,23
331310,0.8,66,86
939329,0.17,16,70
983809,0.65,60,43
833594,0.77,52,64
926280,0.43,15,32
640374,0.36,65,57
173303,0.96,56,33
171213,0.88,75,37
905358,0.82,67,0
100106,0.84,3,82
583424,0.49,10,93
327620,0.21,76,3
194868,0.23,56,10
944765,0.55,47,40
792388,0.87,57,84
142681,0.66,46,81
746813,0.82,13,5
173173,0.99,58,14
732855,0.4,84,81
376314,0.89,63,49
676083,0.13,34,19
535566,0.36,75,60
151722,0.93,98,79
748819,0.75,35,33
998599,0.2,75,28
495296,0.09,2,63
690635,0.73,39,13
904066,0.37,66,2
524356,0.46,98,37
373583,0.05,38,86
655373,0.67,8,61
414446,0.34,79,53
407445,0.04,27,91
494327,0.68,36,14
703758,0.67,92,71
618291,0.02,67,33
958888,0.55,81,78
152000,0.55,89,41
471995,0.07,8,6
727298,0.39,98,9
998738,0.42,95,8
707916,0.16,48,46
821412,0.49,94,22
386701,0.48,17,86
335097,0.98,70,75
886395,0,29,58
685446,0.33,95,98
791260,0.06,62,84
255244,0.16,99,98
614479,0.48,24,65
705570,0.14,42,17
819063,0.31,45,31
433480,0.39,58,44
468884,0.68,16,73
322584,0.67,69,50
305962,0.7,10,65
904370,0.95,11,55
597280,0.88,77,26
208054,0.63,54,94
451289,0.81,48,28
825608,0.59,68,97
788836,0.78,26,93
584399,0.85,99,67
572569,0.3,56,22
432612,0.11,29,32
690220,0.06,23,28
479165,0.55,6,55
917479,0.33,25,8
737367,0.79,85,74
964874,0.05,6,25
264505,0.6,65,35
995564,0.1,12,60
987473,0.94,91,68
519906,0.54,6,94
885937,0.12,67,85
524472,0.38,16,81
649186,0.55,73,30
798595,0.98,17,53
320582,0.3,94,85
295971,0.68,60,25
159413,0.65,32,52
928877,0.22,81,80
581101,0.6,24,63
552564,0.28,46,38
478315,0.25,35,3
469460,0.66,17,98
970559,0.94,29,82
963658,0.67,10,74
860731,0.69,35,15
832682,0.49,38,89
463409,0.16,90,36
342007,0.54,23,1
155287,0.37,6,17
274641,0.63,99,87
466948,0.56,70,26
435489,0.5,74,2
145621,0.51,55,43
674734,0.99,78,24
478945,0.05,28,48
329225,0.68,43,2
317792,0.59,7,81
575733,0.81,1,35
350190,0.19,50,24
870073,0.57,97,2
878152,0.89,67,28
775660,0.19,57,96
429478,0.74,51,70
786300,0.55,46,55
723992,0.25,75,35
777833,0.64,49,9
297186,0.9,49,10
547571,0.54,54,59
953014,0.25,89,34
206673,0.99,86,25
606158,0.5,77,64
758706,0.47,4,81
961290,0.07,95,72
313463,0.66,100,38
162647,0.22,26,64
987842,0.67,5,0
285015,0.3,56,97
254985,0.96,35,60
170966,0.95,81,65
573451,0.09,67,57
771301,0.41,63,49
838370,0.07,14,89
634747,0.66,14,62
560976,0.68,42,50
301219,0.61,64,11
843429,0.86,45,28
891728,0.31,81,74
602179,0.79,82,58
871566,0.07,45,35
330889,0.07,4,75
325468,0.08,80,30
154390,0.46,82,3
915490,0.36,97,50
969190,0.8,41,57
391736,0.86,50,41
496958,0.04,15,40
535928,0.91,81,43
350668,0.08,86,69
409738,0.07,30,30
205165,0.2,39,59
818821,0.95,27,67
507061,0.94,59,28
768600,0.91,22,57
627397,0.51,31,40
385037,0.17,84,19
399427,0.86,10,80
593432,0.6,86,52
982265,0.23,92,35
120290,0.43,49,72
186941,0.49,66,14
726302,0.32,34,27
597292,0.62,22,13
952678,0.94,10,30
931583,0.77,79,45
681902,0.07,17,62
777555,0.69,71,1
980615,0.87,32,5
630159,0.4,55,10
587254,0.31,5,40
675911,0.23,85,42
699837,0.58,100,81
463100,0.77,96,72
868557,0.03,42,2
807152,0.05,65,0
737732,0.9,76,11
937144,0.56,58,69
793343,0.69,23,10
266234,0.97,77,24
501371,0.36,86,54
853907,0.96,88,45
515098,0.65,79,67
128670,0.15,16,16
888524,0.26,3,46
680714,0.8,94,0
551721,0.08,72,86
805536,0.77,54,44
692600,0.3,7,36
814649,0.27,41,0
459747,0.06,49,62
156914,0.08,72,84
404086,0.44,19,91
394584,0.73,4,9
695663,0.51,62,49
918458,0.84,57,25
299238,0.88,49,87
229450,0.19,45,98
240837,0.11,92,100
210087,0,34,62
734990,0.47,94,46
729383,0.56,64,14
590038,0.64,13,80
545179,0.99,63,32
957007,0.37,85,88
476863,0.44,76,38
475130,0.02,38,54
334863,0.67,34,49
969693,0.18,72,21
522235,0.46,80,67
425834,0.46,93,25
497450,0.5,42,25
818176,0.59,30,76
753358,0.31,35,49
607641,0.18,9,72
504318,0,49,80
205233,0.32,45,90
675955,0.66,10,20
628003,0.27,68,4
156602,0.25,30,18
861518,0.55,6,35
749039,0.05,4,1
776597,0.38,45,26
578735,0.25,60,65
208286,0.33,42,70
822254,0.26,30,98
310620,0.76,38,64
355464,0.96,53,93
786830,0.52,45,87
722278,0.29,48,11
681013,0.62,11,65
949980,0.87,27,5
953812,0.07,33,85
702055,0.14,4,7
556196,0.24,41,26
849911,0.8,80,80
331532,0.2,64,100
820524,0.54,83,9
394462,0.64,56,69
329055,0.73,71,26
794967,0.31,95,97
673203,0.83,95,37
106444,0.47,95,59
674673,0.87,60,28
468644,0.97,24,100
417143,0.41,66,1
645793,0.92,9,92
966593,1,94,6
696977,0.77,79,58
331605,0.84,76,38
914365,0.55,95,85
403872,0.92,10,33
330324,0.26,38,17
983480,0.78,57,23
786975,0.01,20,69
866966,0.25,28,79
416801,0.53,49,64
432191,0.05,8,15
476281,0.94,2,34
954053,0.53,83,1
601329,0.39,8,11
307253,0.9,22,3
312508,0.83,67,66
396277,1,57,58
521878,0.83,28,95
264859,0.04,57,33
949777,0.26,82,1
777316,0.69,37,6
356227,0.56,83,94
215386,0.41,42,19
965480,0.05,11,91
357942,0.16,12,66
296643,0.74,53,53
493596,0.41,53,74
623187,0.71,36,56
136616,0.79,63,3
678592,0.62,43,88
912264,0.07,8,66
708413,0.54,74,0
713214,0.16,23,91
146383,0.96,20,72
106918,0.35,68,21
682250,0.42,62,97
377115,0.78,70,93
970396,0.01,27,99
191269,0.11,80,6
105973,0.88,37,10
101830,0.12,3,75
265041,0.24,66,78
224940,0.18,16,76
747883,0.63,6,41
189222,0.46,24,17
968394,0.48,50,96
508480,0.45,42,87
233384,0.36,41,12
427219,0.44,32,77
464570,0.04,2,37
700228,0.5,6,43
914312,0.11,29,75
153255,0.04,84,20
569853,0.88,26,28
380039,0.49,44,99
885569,0.35,26,34
925801,0.7,71,70
857332,0.08,94,65
956619,0.52,62,72
358676,0.98,43,35
426630,0.93,41,1
911821,0.62,11,6
348847,0.86,11,3
889531,0.56,25,33
371464,0.7,33,41
718472,0.03,73,60
854757,0.05,26,39
761973,0.53,57,100
822848,0.37,0,11
223680,0.72,46,72
195778,0.06,11,59
746699,0.9,98,47
460749,0.56,13,61
820298,0.41,55,94
288661,0.77,3,54
524521,0.32,97,69
243882,0.29,22,99
144351,0.44,34,96
107904,0.81,50,64
773003,0.94,8,20
879656,0.73,32,80
160528,0.82,77,41
557077,0.17,21,39
782517,0.17,82,81
363308,0.37,53,16
125847,0.22,46,99
388544,0.91,24,2
633516,0.71,53,91
257933,0.74,79,79
778146,0.73,12,49
649654,0.82,30,71
829569,0.03,7,79
322390,0.86,23,37
580400,0.62,30,44
207047,0.24,7,58
800958,0.59,9,64
680181,0.84,45,25
739473,0.01,70,32
311961,0.23,91,1
981606,0.67,58,71
543162,0.7,42,50
939327,0.34,45,98
560953,0.63,5,30
587245,0.78,29,77
751224,0.25,60,72
362961,0.26,41,79
122158,0.12,41,90
692568,0.72,72,18
948662,0.38,31,94
622259,0.95,58,81
527248,0.29,33,13
186091,0.22,14,43
625306,0.78,96,57
103092,0.3,69,89
123609,0.15,70,38
