student_id,district_id,district_name,school_id,school_name,current_grade_level,gender,ethnicity,ell,iep,gifted_flag,homeless_flag,disability,economic_disadvantage,ela_state_score_two_years_ago,ela_state_score_one_year_ago,ela_state_score_current_year,math_state_score_two_years_ago,math_state_score_one_year_ago,math_state_score_current_year,performance_level_two_years_ago,performance_level_prior_year,performance_level_current_year
4629745264,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,6,True,Asian,True,True,True,False,True,True,659,677,696,654,672,690,basic,basic,proficient
3328979477,5000332,Frederick-Zamora School District,164948,Flores PLC High School,5,True,Asian,True,True,True,False,True,True,712,731,747,614,618,621,basic,basic,proficient
8113773795,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,-1,False,Native American,False,False,True,False,True,False,636,642,648,690,700,710,basic,basic,proficient
1105967939,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,5,True,Hispanic,True,False,True,True,False,False,672,687,704,642,644,646,basic,basic,proficient
5836521746,5000332,Frederick-Zamora School District,164948,Flores PLC High School,7,False,Native American,False,False,False,True,True,True,695,706,721,717,729,742,proficient,proficient,advanced
6591162957,5000332,Frederick-Zamora School District,164948,Flores PLC High School,8,False,Native American,False,False,True,True,True,True,716,734,756,609,623,636,basic,proficient,proficient
6970246872,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,12,False,Native American,False,False,False,False,True,False,701,718,731,706,715,723,proficient,proficient,advanced
3889854941,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,6,True,Other,False,True,False,False,True,False,744,760,778,678,692,709,proficient,advanced,advanced
1870883799,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,-1,False,Black,True,True,False,False,False,True,657,663,670,632,650,668,basic,basic,basic
7283957671,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,7,False,Pacific Islander,False,False,False,True,False,False,690,701,716,690,710,726,proficient,proficient,proficient
9121096466,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,-1,True,Black,False,False,True,False,True,True,717,733,753,652,654,657,proficient,proficient,proficient
7479311579,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,2,False,Native American,True,True,False,True,True,True,725,733,741,636,644,651,proficient,proficient,proficient
9352150739,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,-1,False,Hispanic,False,True,True,False,False,False,667,680,691,630,634,637,basic,basic,basic
2644146957,4603381,Ware Ltd School District,205193,Chandler Inc High School,7,False,Other,False,False,True,False,False,False,675,686,694,702,719,738,proficient,proficient,proficient
9006329625,4603381,Ware Ltd School District,205193,Chandler Inc High School,1,False,Pacific Islander,True,True,False,False,True,False,728,742,752,618,632,646,basic,proficient,proficient
8240239681,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,10,True,Hispanic,False,True,False,False,True,True,682,686,689,735,759,777,proficient,proficient,advanced
4828311885,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,-1,False,White,False,False,True,True,False,True,715,723,732,713,718,724,proficient,proficient,advanced
3600666465,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,8,False,Pacific Islander,False,True,False,True,False,False,616,619,623,672,692,714,basic,basic,basic
3073471239,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,0,False,Black,True,True,True,True,False,False,659,669,682,674,687,704,basic,proficient,proficient
6188193415,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,0,True,Pacific Islander,True,True,True,False,False,False,731,749,768,745,757,773,advanced,advanced,advanced
9884231495,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,5,True,White,False,False,True,False,True,True,655,661,666,636,651,670,basic,basic,basic
9574471873,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,4,True,Black,False,True,False,False,False,True,708,716,722,680,685,689,proficient,proficient,proficient
6442094556,5000332,Frederick-Zamora School District,164948,Flores PLC High School,0,False,Other,True,True,True,False,True,True,666,677,688,715,727,736,proficient,proficient,proficient
1086228174,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,10,False,Native American,True,False,True,False,True,False,615,640,661,643,649,656,basic,basic,basic
1878060119,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,11,False,White,False,False,True,False,False,False,664,690,712,683,705,733,basic,proficient,proficient
4009959537,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,1,True,Hispanic,True,False,True,True,False,True,638,664,683,618,639,663,basic,basic,basic
2026054900,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,3,False,Asian,False,False,True,True,True,True,677,685,692,650,662,673,basic,basic,proficient
3936829933,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,3,False,Other,False,True,False,False,True,False,653,675,692,674,691,707,basic,proficient,proficient
1802434345,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,1,False,White,False,True,False,False,True,False,625,649,672,634,646,656,basic,basic,basic
5605797524,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,1,True,Other,True,False,True,False,True,True,727,744,763,655,658,662,proficient,proficient,proficient
3035982176,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,0,True,Native American,True,False,True,True,True,True,600,612,625,708,721,732,basic,basic,proficient
9485201913,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,0,False,Asian,True,False,False,False,False,True,749,768,785,641,644,647,proficient,proficient,proficient
5210887338,4603381,Ware Ltd School District,205193,Chandler Inc High School,9,False,Hispanic,False,True,True,True,False,True,698,726,751,674,681,688,proficient,proficient,proficient
5707004012,4603381,Ware Ltd School District,205193,Chandler Inc High School,11,True,Native American,False,True,True,True,False,True,612,636,654,623,644,669,basic,basic,basic
9111548120,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,2,False,White,True,True,True,False,True,True,667,674,681,647,666,681,basic,basic,proficient
8638946875,5000332,Frederick-Zamora School District,164948,Flores PLC High School,9,False,Asian,False,False,True,False,True,False,731,735,738,688,700,714,proficient,proficient,advanced
3272083001,5000332,Frederick-Zamora School District,164948,Flores PLC High School,12,True,White,False,True,False,True,True,False,723,727,731,653,667,684,proficient,proficient,proficient
4181052548,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,2,False,Asian,True,True,False,False,False,True,705,728,750,671,676,683,proficient,proficient,proficient
5789107954,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,5,True,Hispanic,False,False,False,False,True,True,621,643,661,695,701,707,basic,basic,proficient
4741614748,5000332,Frederick-Zamora School District,164948,Flores PLC High School,6,True,Hispanic,False,True,True,False,True,False,721,723,725,744,753,762,advanced,advanced,advanced
9314529391,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,11,False,Other,True,True,False,False,True,False,683,700,721,683,702,724,proficient,proficient,proficient
6402958290,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,0,False,White,False,False,True,False,True,True,630,639,648,682,704,726,basic,basic,proficient
5366428245,5000332,Frederick-Zamora School District,164948,Flores PLC High School,12,False,Other,False,False,False,False,False,False,689,697,704,638,666,688,basic,proficient,proficient
3707970784,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,4,False,White,True,True,True,False,False,True,731,745,757,722,728,733,advanced,advanced,advanced
5482588340,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,5,True,White,True,False,True,False,False,False,717,723,730,668,680,690,proficient,proficient,proficient
1539273869,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,9,True,Asian,True,False,False,False,True,False,641,659,676,708,719,729,basic,proficient,proficient
3856046075,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,1,True,Black,False,False,False,False,False,False,609,622,638,712,734,762,basic,proficient,proficient
3209844627,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,9,False,Hispanic,False,False,False,True,True,False,737,758,780,652,667,679,proficient,proficient,advanced
7013033577,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,8,True,White,False,False,False,True,False,True,628,636,648,684,686,689,basic,basic,basic
2368932038,5000332,Frederick-Zamora School District,164948,Flores PLC High School,7,True,Asian,True,False,True,True,True,False,720,747,775,745,761,774,advanced,advanced,advanced
9710200468,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,4,False,White,False,True,False,False,False,True,670,686,703,648,672,690,basic,proficient,proficient
1570535033,5000332,Frederick-Zamora School District,164948,Flores PLC High School,10,False,White,False,True,True,False,False,False,745,760,772,726,735,745,advanced,advanced,advanced
9201201286,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,7,True,Asian,True,False,False,False,False,False,735,751,769,621,640,661,proficient,proficient,proficient
5238763685,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,10,True,Hispanic,True,True,True,True,False,False,644,672,700,692,699,707,basic,proficient,proficient
5366475417,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,8,False,Native American,True,True,True,True,False,False,701,718,734,640,644,648,basic,proficient,proficient
2550097378,5000332,Frederick-Zamora School District,164948,Flores PLC High School,6,False,Native American,True,True,True,True,True,False,744,755,770,681,688,695,proficient,proficient,advanced
4657957284,5000332,Frederick-Zamora School District,164948,Flores PLC High School,12,False,White,True,False,True,False,True,True,739,746,754,602,618,635,basic,proficient,proficient
2886183162,5000332,Frederick-Zamora School District,164948,Flores PLC High School,-1,True,Hispanic,False,True,True,False,False,True,662,682,697,652,662,675,basic,basic,proficient
9118612881,5000332,Frederick-Zamora School District,164948,Flores PLC High School,8,True,Native American,True,False,True,False,True,True,741,756,771,695,698,702,proficient,advanced,advanced
3851926692,4603381,Ware Ltd School District,205193,Chandler Inc High School,2,False,Pacific Islander,True,True,False,False,False,False,661,672,683,621,640,659,basic,basic,basic
4403381169,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,6,True,Hispanic,False,True,True,True,True,False,617,634,649,625,639,653,basic,basic,basic
9318195540,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,2,True,White,True,False,False,False,False,True,686,693,700,669,678,689,proficient,proficient,proficient
8577307869,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,0,True,Pacific Islander,False,True,True,True,False,True,678,699,720,704,720,735,proficient,proficient,advanced
8516906921,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,1,True,Black,True,True,True,True,True,False,711,723,736,666,673,680,proficient,proficient,proficient
7419672522,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,1,True,White,False,False,True,True,False,True,604,623,644,698,706,715,basic,basic,proficient
8078103823,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,6,False,Asian,True,True,True,False,False,True,601,614,630,607,612,617,basic,basic,basic
3710100272,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,1,True,Hispanic,True,False,True,True,False,False,605,615,628,685,713,740,basic,basic,proficient
2893305202,4603381,Ware Ltd School District,205193,Chandler Inc High School,8,True,Black,False,True,True,False,False,True,642,651,659,660,674,691,basic,basic,proficient
2908870950,5000332,Frederick-Zamora School District,164948,Flores PLC High School,0,False,Asian,False,False,True,True,False,True,606,627,644,666,684,707,basic,basic,proficient
4549911345,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,9,False,Asian,False,True,False,False,True,True,734,743,751,690,704,718,proficient,proficient,advanced
9080210489,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,4,False,White,False,True,False,True,True,False,679,694,708,679,696,714,proficient,proficient,proficient
6936955361,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,11,True,Hispanic,False,True,True,False,False,False,692,697,703,742,769,790,proficient,advanced,advanced
7529283978,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,0,False,Hispanic,False,False,False,False,True,True,714,732,751,687,694,703,proficient,proficient,advanced
5208213256,5000332,Frederick-Zamora School District,164948,Flores PLC High School,10,False,Asian,True,True,False,True,True,False,692,707,722,676,680,685,proficient,proficient,proficient
2085061898,4603381,Ware Ltd School District,205193,Chandler Inc High School,6,False,Black,False,True,False,True,False,False,664,686,710,746,768,786,proficient,advanced,advanced
8863593936,5000332,Frederick-Zamora School District,164948,Flores PLC High School,1,False,Asian,True,True,False,False,True,False,643,657,668,669,682,696,basic,basic,proficient
9699180742,4603381,Ware Ltd School District,205193,Chandler Inc High School,10,False,Asian,False,False,False,False,True,False,708,719,731,729,736,744,proficient,advanced,advanced
5583266685,4603381,Ware Ltd School District,205193,Chandler Inc High School,0,False,Pacific Islander,False,False,True,True,False,False,618,620,622,748,764,776,proficient,proficient,proficient
1038776422,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,12,True,Black,True,True,False,True,False,False,695,709,727,721,723,725,proficient,proficient,advanced
4011030733,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,12,True,Hispanic,False,True,True,False,False,False,666,678,694,701,714,732,proficient,proficient,proficient
1791512786,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,9,True,Other,True,False,False,True,True,False,724,727,729,645,660,675,proficient,proficient,proficient
4252831330,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,9,True,Hispanic,False,True,False,False,False,True,652,656,659,606,628,656,basic,basic,basic
4386309883,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,10,True,White,False,False,True,True,True,True,648,668,681,686,702,718,basic,proficient,proficient
5521197700,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,11,True,Hispanic,False,True,False,True,True,False,617,621,624,686,691,696,basic,basic,basic
3034775263,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,7,True,Other,False,True,True,True,True,False,691,713,732,709,726,741,proficient,proficient,advanced
5334363243,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,12,True,White,False,False,False,False,True,False,673,687,703,661,683,706,basic,proficient,proficient
9812322029,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,8,True,Hispanic,True,True,False,False,False,True,665,672,680,655,681,702,basic,proficient,proficient
3123463001,5000332,Frederick-Zamora School District,164948,Flores PLC High School,9,True,Black,False,True,False,False,True,True,616,621,626,746,749,752,proficient,proficient,proficient
5313056952,5000332,Frederick-Zamora School District,164948,Flores PLC High School,0,False,Pacific Islander,False,True,False,False,True,True,715,729,747,710,718,725,proficient,proficient,advanced
5945814517,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,4,True,Hispanic,False,False,True,True,True,True,739,759,775,712,723,734,advanced,advanced,advanced
2770312371,5000332,Frederick-Zamora School District,164948,Flores PLC High School,10,False,Asian,True,True,True,False,False,True,686,691,696,718,736,753,proficient,proficient,proficient
9121718263,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,7,False,Asian,False,True,False,False,True,True,734,749,766,642,663,682,proficient,proficient,proficient
1498041745,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,3,False,Native American,False,True,True,False,True,True,689,706,720,727,747,769,proficient,advanced,advanced
5868344143,5000332,Frederick-Zamora School District,164948,Flores PLC High School,2,True,Other,True,False,True,True,True,True,635,639,642,699,718,732,basic,proficient,proficient
9268608142,4603381,Ware Ltd School District,205193,Chandler Inc High School,6,True,Black,False,True,False,False,True,False,648,657,664,606,619,630,basic,basic,basic
5704666216,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,0,True,Asian,True,False,True,False,True,True,686,701,713,743,751,761,proficient,advanced,advanced
7168782186,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,10,False,Asian,False,False,True,True,True,True,716,733,753,607,615,623,basic,basic,proficient
3563935963,5000332,Frederick-Zamora School District,164948,Flores PLC High School,7,False,Native American,True,False,True,False,False,True,615,628,640,687,692,698,basic,basic,basic
4451160696,5000332,Frederick-Zamora School District,164948,Flores PLC High School,-1,False,Asian,True,True,False,True,False,False,630,640,647,701,718,736,basic,proficient,proficient
4978808401,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,9,True,Pacific Islander,False,True,True,True,False,False,740,746,752,697,711,723,proficient,advanced,advanced
7855899002,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,12,True,White,False,True,True,False,True,True,723,728,732,638,646,652,proficient,proficient,proficient
8895665039,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,6,True,Hispanic,False,True,False,False,False,False,671,680,690,612,625,640,basic,basic,basic
4572712658,5000332,Frederick-Zamora School District,164948,Flores PLC High School,2,False,Other,True,False,False,True,True,True,731,736,740,647,658,672,proficient,proficient,proficient
5431232167,5000332,Frederick-Zamora School District,164948,Flores PLC High School,0,False,Native American,False,False,False,False,True,True,665,681,698,632,641,651,basic,basic,basic
6255630034,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,1,False,Black,True,False,False,True,True,True,686,699,710,638,643,649,basic,basic,proficient
9331016320,4603381,Ware Ltd School District,205193,Chandler Inc High School,6,False,Asian,True,True,True,False,True,False,691,697,704,723,744,770,proficient,proficient,advanced
6938288789,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,11,True,Other,False,False,True,False,False,False,710,717,723,678,690,701,proficient,proficient,proficient
1581483301,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,7,True,Black,False,False,True,True,False,True,672,698,719,663,669,676,basic,proficient,proficient
7507034933,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,12,True,White,False,True,False,True,False,False,698,712,726,658,669,680,proficient,proficient,proficient
3989001100,5000332,Frederick-Zamora School District,164948,Flores PLC High School,5,False,Pacific Islander,False,False,False,False,False,True,672,684,698,749,771,788,proficient,advanced,advanced
9118750832,5000332,Frederick-Zamora School District,164948,Flores PLC High School,6,True,Asian,True,True,False,True,True,True,608,634,657,674,684,699,basic,basic,proficient
6014271560,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,-1,False,Native American,True,True,False,True,False,False,640,647,653,705,729,757,basic,proficient,proficient
2177812089,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,3,False,Pacific Islander,True,False,False,False,True,True,692,700,709,672,698,719,proficient,proficient,proficient
7232130762,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,5,False,Other,False,True,True,False,False,True,704,710,716,613,626,636,basic,basic,proficient
3303706244,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,7,False,Other,True,False,True,True,False,True,742,757,779,673,699,720,proficient,advanced,advanced
1870076284,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,5,False,Other,True,True,True,True,True,True,685,690,696,700,715,727,proficient,proficient,proficient
2093664248,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,6,False,Native American,False,True,False,True,False,False,728,737,745,709,716,724,proficient,advanced,advanced
4371521710,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,1,False,Native American,False,True,True,True,True,False,685,711,737,704,719,731,proficient,proficient,advanced
1376452242,4603381,Ware Ltd School District,205193,Chandler Inc High School,10,False,Other,False,True,True,False,True,False,648,668,683,658,677,697,basic,basic,proficient
6057196170,5000332,Frederick-Zamora School District,164948,Flores PLC High School,-1,True,Other,False,True,False,False,False,True,665,682,696,618,633,646,basic,basic,basic
2749246155,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,12,True,Asian,False,False,False,True,True,True,739,742,746,677,694,707,proficient,proficient,advanced
2889630018,4603381,Ware Ltd School District,205193,Chandler Inc High School,0,False,Pacific Islander,False,True,True,False,True,False,688,712,738,747,751,755,proficient,advanced,advanced
3852340197,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,4,True,Pacific Islander,False,True,True,False,False,False,611,617,624,635,640,645,basic,basic,basic
4552339528,5000332,Frederick-Zamora School District,164948,Flores PLC High School,1,False,Black,False,False,False,False,True,False,648,666,684,618,622,626,basic,basic,basic
6722200257,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,12,True,White,True,False,True,False,False,True,736,740,743,616,625,636,proficient,proficient,proficient
9653415067,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,8,False,Other,True,False,True,False,True,False,661,672,681,606,613,620,basic,basic,basic
1197691607,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,1,True,White,False,True,False,True,False,False,708,720,734,621,628,639,basic,basic,proficient
7701770930,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,10,False,White,False,True,False,False,False,True,624,644,663,637,664,691,basic,basic,proficient
4750627053,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,4,True,White,False,False,False,True,True,True,657,665,671,632,654,677,basic,basic,basic
7274618647,5000332,Frederick-Zamora School District,164948,Flores PLC High School,2,True,Black,False,False,True,False,False,True,651,669,683,645,663,681,basic,basic,proficient
9387338739,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,11,False,White,True,False,False,True,True,False,737,748,762,700,709,718,proficient,advanced,advanced
8349705727,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,7,False,Asian,True,False,True,False,False,True,722,734,749,645,656,670,proficient,proficient,proficient
6540819152,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,6,False,Asian,False,False,False,False,True,False,662,671,677,643,652,661,basic,basic,basic
2310852211,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,9,True,Other,False,False,False,True,True,False,666,671,676,703,708,714,proficient,proficient,proficient
9056499340,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,6,False,Black,False,False,True,True,False,False,639,654,667,737,741,745,proficient,proficient,proficient
9340560426,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,4,False,Other,False,True,True,False,False,True,746,748,750,605,608,611,proficient,proficient,proficient
7989815007,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,-1,False,Black,True,False,True,True,False,False,711,715,719,721,736,749,proficient,advanced,advanced
3564571250,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,8,True,White,False,True,False,True,False,True,750,763,778,674,685,696,proficient,proficient,advanced
6896830706,5000332,Frederick-Zamora School District,164948,Flores PLC High School,1,False,Asian,True,True,True,False,False,True,640,658,678,660,665,669,basic,basic,basic
5532130578,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,8,True,Other,True,False,False,True,True,False,634,643,655,651,654,657,basic,basic,basic
4055433263,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,0,True,Hispanic,False,False,False,False,False,True,604,624,644,719,722,725,basic,basic,proficient
1398350572,4603381,Ware Ltd School District,205193,Chandler Inc High School,7,True,Hispanic,True,False,False,False,False,True,746,758,769,654,665,676,proficient,proficient,proficient
5907914575,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,3,True,Native American,False,False,False,True,True,True,665,669,675,750,754,758,proficient,proficient,proficient
2149988839,5000332,Frederick-Zamora School District,164948,Flores PLC High School,12,False,Black,True,False,True,False,True,False,700,712,723,743,747,752,proficient,advanced,advanced
